threshold,quantity,day_-2_profit,day_-1_profit,total_profit,max_drawdown_pct
0,0,49,56,105,0.7273
0,5,511,455,966,0.4923
0,10,791,728,1519,0.6377
0,15,770,539,1309,0.6377
0,20,770,812,1582,0.6377
0,25,770,812,1582,0.6377
0,30,770,812,1582,0.6377
0,35,770,812,1582,0.6377
0,40,770,812,1582,0.6377
0,45,770,812,1582,0.6377
0,50,770,812,1582,0.6377
0,55,770,812,1582,0.6377
0,60,770,812,1582,0.6377
0,65,770,812,1582,0.6377
0,70,770,812,1582,0.6377
0,75,770,812,1582,0.6377
0,80,770,812,1582,0.6377
5,0,49,56,105,0.7273
5,5,4963,5215,10178,0.3333
5,10,5068,5908,10976,0.3333
5,15,5068,5719,10787,0.3333
5,20,5068,5719,10787,0.3333
5,25,5068,5719,10787,0.3333
5,30,5068,5719,10787,0.3333
5,35,5068,5719,10787,0.3333
5,40,5068,5719,10787,0.3333
5,45,5068,5719,10787,0.3333
5,50,5068,5719,10787,0.3333
5,55,5068,5719,10787,0.3333
5,60,5068,5719,10787,0.3333
5,65,5068,5719,10787,0.3333
5,70,5068,5719,10787,0.3333
5,75,5068,5719,10787,0.3333
5,80,5068,5719,10787,0.3333
10,0,357,105,462,0.2543
10,5,5740,6181,11921,0.2353
10,10,6174,6384,12558,0.2353
10,15,6174,6671,12845,0.2353
10,20,6174,6671,12845,0.2353
10,25,6174,6671,12845,0.2353
10,30,6174,6671,12845,0.2353
10,35,6174,6671,12845,0.2353
10,40,6174,6671,12845,0.2353
10,45,6174,6671,12845,0.2353
10,50,6174,6671,12845,0.2353
10,55,6174,6671,12845,0.2353
10,60,6174,6671,12845,0.2353
10,65,6174,6671,12845,0.2353
10,70,6174,6671,12845,0.2353
10,75,6174,6671,12845,0.2353
10,80,6174,6671,12845,0.2353
15,0,791,175,966,0.2353
15,5,6181,6720,12901,0.2353
15,10,6321,6993,13314,0.2353
15,15,6321,6993,13314,0.2353
15,20,6321,6993,13314,0.2353
15,25,6321,6993,13314,0.2353
15,30,6321,6993,13314,0.2353
15,35,6321,6993,13314,0.2353
15,40,6321,6993,13314,0.2353
15,45,6321,6993,13314,0.2353
15,50,6321,6993,13314,0.2353
15,55,6321,6993,13314,0.2353
15,60,6321,6993,13314,0.2353
15,65,6321,6993,13314,0.2353
15,70,6321,6993,13314,0.2353
15,75,6321,6993,13314,0.2353
15,80,6321,6993,13314,0.2353
20,0,791,210,1001,0.2353
20,5,6377,6958,13335,0.2353
20,10,6741,7112,13853,0.2353
20,15,6741,7112,13853,0.2353
20,20,6741,7112,13853,0.2353
20,25,6741,7112,13853,0.2353
20,30,6741,7112,13853,0.2353
20,35,6741,7112,13853,0.2353
20,40,6741,7112,13853,0.2353
20,45,6741,7112,13853,0.2353
20,50,6741,7112,13853,0.2353
20,55,6741,7112,13853,0.2353
20,60,6741,7112,13853,0.2353
20,65,6741,7112,13853,0.2353
20,70,6741,7112,13853,0.2353
20,75,6741,7112,13853,0.2353
20,80,6741,7112,13853,0.2353
25,0,1204,259,1463,0.2353
25,5,6370,7063,13433,0.2353
25,10,6720,7084,13804,0.2353
25,15,6720,7084,13804,0.2353
25,20,6720,7084,13804,0.2353
25,25,6720,7084,13804,0.2353
25,30,6720,7084,13804,0.2353
25,35,6720,7084,13804,0.2353
25,40,6720,7084,13804,0.2353
25,45,6720,7084,13804,0.2353
25,50,6720,7084,13804,0.2353
25,55,6720,7084,13804,0.2353
25,60,6720,7084,13804,0.2353
25,65,6720,7084,13804,0.2353
25,70,6720,7084,13804,0.2353
25,75,6720,7084,13804,0.2353
25,80,6720,7084,13804,0.2353
30,0,1617,259,1876,0.2353
30,5,6727,7119,13846,0.2353
30,10,6755,7238,13993,0.2353
30,15,6755,7238,13993,0.2353
30,20,6755,7238,13993,0.2353
30,25,6755,7238,13993,0.2353
30,30,6755,7238,13993,0.2353
30,35,6755,7238,13993,0.2353
30,40,6755,7238,13993,0.2353
30,45,6755,7238,13993,0.2353
30,50,6755,7238,13993,0.2353
30,55,6755,7238,13993,0.2353
30,60,6755,7238,13993,0.2353
30,65,6755,7238,13993,0.2353
30,70,6755,7238,13993,0.2353
30,75,6755,7238,13993,0.2353
30,80,6755,7238,13993,0.2353
35,0,1666,301,1967,0.2353
35,5,6825,7119,13944,0.2353
35,10,6888,7217,14105,0.2353
35,15,6888,7217,14105,0.2353
35,20,6888,7217,14105,0.2353
35,25,6888,7217,14105,0.2353
35,30,6888,7217,14105,0.2353
35,35,6888,7217,14105,0.2353
35,40,6888,7217,14105,0.2353
35,45,6888,7217,14105,0.2353
35,50,6888,7217,14105,0.2353
35,55,6888,7217,14105,0.2353
35,60,6888,7217,14105,0.2353
35,65,6888,7217,14105,0.2353
35,70,6888,7217,14105,0.2353
35,75,6888,7217,14105,0.2353
35,80,6888,7217,14105,0.2353
40,0,1666,329,1995,0.2353
40,5,6867,7105,13972,0.2353
40,10,6895,7315,14210,0.2353
40,15,6895,7315,14210,0.2353
40,20,6895,7315,14210,0.2353
40,25,6895,7315,14210,0.2353
40,30,6895,7315,14210,0.2353
40,35,6895,7315,14210,0.2353
40,40,6895,7315,14210,0.2353
40,45,6895,7315,14210,0.2353
40,50,6895,7315,14210,0.2353
40,55,6895,7315,14210,0.2353
40,60,6895,7315,14210,0.2353
40,65,6895,7315,14210,0.2353
40,70,6895,7315,14210,0.2353
40,75,6895,7315,14210,0.2353
40,80,6895,7315,14210,0.2353
45,0,1722,385,2107,0.2353
45,5,6867,7203,14070,0.2353
45,10,6874,7504,14378,0.2353
45,15,6874,7504,14378,0.2353
45,20,6874,7504,14378,0.2353
45,25,6874,7504,14378,0.2353
45,30,6874,7504,14378,0.2353
45,35,6874,7504,14378,0.2353
45,40,6874,7504,14378,0.2353
45,45,6874,7504,14378,0.2353
45,50,6874,7504,14378,0.2353
45,55,6874,7504,14378,0.2353
45,60,6874,7504,14378,0.2353
45,65,6874,7504,14378,0.2353
45,70,6874,7504,14378,0.2353
45,75,6874,7504,14378,0.2353
45,80,6874,7504,14378,0.2353
50,0,1764,504,2268,0.2353
50,5,6909,7434,14343,0.2353
50,10,7014,7581,14595,0.2353
50,15,7014,7581,14595,0.2353
50,20,7014,7581,14595,0.2353
50,25,7014,7581,14595,0.2353
50,30,7014,7581,14595,0.2353
50,35,7014,7581,14595,0.2353
50,40,7014,7581,14595,0.2353
50,45,7014,7581,14595,0.2353
50,50,7014,7581,14595,0.2353
50,55,7014,7581,14595,0.2353
50,60,7014,7581,14595,0.2353
50,65,7014,7581,14595,0.2353
50,70,7014,7581,14595,0.2353
50,75,7014,7581,14595,0.2353
50,80,7014,7581,14595,0.2353
55,0,1764,574,2338,0.2353
55,5,6909,7434,14343,0.2353
55,10,7014,7574,14588,0.2353
55,15,7014,7574,14588,0.2353
55,20,7014,7574,14588,0.2353
55,25,7014,7574,14588,0.2353
55,30,7014,7574,14588,0.2353
55,35,7014,7574,14588,0.2353
55,40,7014,7574,14588,0.2353
55,45,7014,7574,14588,0.2353
55,50,7014,7574,14588,0.2353
55,55,7014,7574,14588,0.2353
55,60,7014,7574,14588,0.2353
55,65,7014,7574,14588,0.2353
55,70,7014,7574,14588,0.2353
55,75,7014,7574,14588,0.2353
55,80,7014,7574,14588,0.2353
60,0,1827,574,2401,0.2492
60,5,6909,7483,14392,0.2353
60,10,7014,7581,14595,0.2353
60,15,7014,7581,14595,0.2353
60,20,7014,7581,14595,0.2353
60,25,7014,7581,14595,0.2353
60,30,7014,7581,14595,0.2353
60,35,7014,7581,14595,0.2353
60,40,7014,7581,14595,0.2353
60,45,7014,7581,14595,0.2353
60,50,7014,7581,14595,0.2353
60,55,7014,7581,14595,0.2353
60,60,7014,7581,14595,0.2353
60,65,7014,7581,14595,0.2353
60,70,7014,7581,14595,0.2353
60,75,7014,7581,14595,0.2353
60,80,7014,7581,14595,0.2353
65,0,1890,630,2520,0.2516
65,5,6993,7483,14476,0.2473
65,10,7000,7539,14539,0.2437
65,15,7000,7539,14539,0.2437
65,20,7000,7539,14539,0.2437
65,25,7000,7539,14539,0.2437
65,30,7000,7539,14539,0.2437
65,35,7000,7539,14539,0.2437
65,40,7000,7539,14539,0.2437
65,45,7000,7539,14539,0.2437
65,50,7000,7539,14539,0.2437
65,55,7000,7539,14539,0.2437
65,60,7000,7539,14539,0.2437
65,65,7000,7539,14539,0.2437
65,70,7000,7539,14539,0.2437
65,75,7000,7539,14539,0.2437
65,80,7000,7539,14539,0.2437
70,0,1953,819,2772,0.2539
70,5,7014,7476,14490,0.245
70,10,7014,7714,14728,0.2414
70,15,7014,7714,14728,0.2414
70,20,7014,7714,14728,0.2414
70,25,7014,7714,14728,0.2414
70,30,7014,7714,14728,0.2414
70,35,7014,7714,14728,0.2414
70,40,7014,7714,14728,0.2414
70,45,7014,7714,14728,0.2414
70,50,7014,7714,14728,0.2414
70,55,7014,7714,14728,0.2414
70,60,7014,7714,14728,0.2414
70,65,7014,7714,14728,0.2414
70,70,7014,7714,14728,0.2414
70,75,7014,7714,14728,0.2414
70,80,7014,7714,14728,0.2414
75,0,4081,1036,5117,0.2539
75,5,7000,7546,14546,0.2539
75,10,7133,7658,14791,0.2539
75,15,7133,7658,14791,0.2539
75,20,7133,7658,14791,0.2539
75,25,7133,7658,14791,0.2539
75,30,7133,7658,14791,0.2539
75,35,7133,7658,14791,0.2539
75,40,7133,7658,14791,0.2539
75,45,7133,7658,14791,0.2539
75,50,7133,7658,14791,0.2539
75,55,7133,7658,14791,0.2539
75,60,7133,7658,14791,0.2539
75,65,7133,7658,14791,0.2539
75,70,7133,7658,14791,0.2539
75,75,7133,7658,14791,0.2539
75,80,7133,7658,14791,0.2539
80,0,6958,7567,14525,0.2539
80,5,6958,7567,14525,0.2539
80,10,6958,7567,14525,0.2539
80,15,6958,7567,14525,0.2539
80,20,6958,7567,14525,0.2539
80,25,6958,7567,14525,0.2539
80,30,6958,7567,14525,0.2539
80,35,6958,7567,14525,0.2539
80,40,6958,7567,14525,0.2539
80,45,6958,7567,14525,0.2539
80,50,6958,7567,14525,0.2539
80,55,6958,7567,14525,0.2539
80,60,6958,7567,14525,0.2539
80,65,6958,7567,14525,0.2539
80,70,6958,7567,14525,0.2539
80,75,6958,7567,14525,0.2539
80,80,6958,7567,14525,0.2539
